Gene ,Gene Name,miRNA ,Target Score,Human
Csnk1g3,"casein kinase 1, gamma 3",miR-133b-3p,98,✓
Ccnj,cyclin J,miR-205-5p,98,✓
Mosmo,modulator of smoothened,miR-205-5p,98,✓
Lrch3,leucine-rich repeats and calponin homology (CH) domain containing 3,miR-205-5p,98,✓
Nufip2,nuclear fragile X mental retardation protein interacting protein 2,miR-205-5p,98,✓
Nr6a1,"nuclear receptor subfamily 6, group A, member 1",miR-196a-5p,98,✓
Phip,pleckstrin homology domain interacting protein,miR-340-5p,98,✓
Ssbp2,single-stranded DNA binding protein 2,miR-340-5p,98,✓
Wdr26,WD repeat domain 26,miR-340-5p,98,✓
Epn2,epsin 2,miR-340-5p,98,✓
Ero1lb,ERO1-like beta (S. cerevisiae),miR-340-5p,98,✓
Rev3l,"REV3 like, DNA directed polymerase zeta catalytic subunit",miR-340-5p,98,✓
Zfp652,zinc finger protein 652,miR-340-5p,98,
Pcgf3,polycomb group ring finger 3,miR-340-5p,98,✓
Zfpm2,"zinc finger protein, multitype 2",miR-340-5p,98,✓
Olfm3,olfactomedin 3,miR-340-5p,98,✓
Vmp1,vacuole membrane protein 1,miR-340-5p,98,✓
Msrb3,methionine sulfoxide reductase B3,miR-340-5p,98,✓
Atp2c1,"ATPase, Ca++-sequestering",miR-340-5p,98,✓
Rb1cc1,RB1-inducible coiled-coil 1,miR-340-5p,98,✓
Cdh12,cadherin 12,miR-340-5p,98,✓
Gabpa,"GA repeat binding protein, alpha",miR-340-5p,98,✓
Sec61b,Sec61 beta subunit,miR-133b-3p,97,✓
Acat3,acetyl-Coenzyme A acetyltransferase 3,miR-133b-3p,97,
Simc1,SUMO-interacting motifs containing 1,miR-133b-3p,97,✓
Otc,ornithine transcarbamylase,miR-133b-3p,97,✓
Rffl,ring finger and FYVE like domain containing protein,miR-133b-3p,97,✓
Enc1,ectodermal-neural cortex 1,miR-133b-3p,97,✓
Celf4,"CUGBP, Elav-like family member 4",miR-133b-3p,97,✓
Ankrd44,ankyrin repeat domain 44,miR-133b-3p,97,✓
Fam117b,"family with sequence similarity 117, member B",miR-133b-3p,97,✓
Btbd3,BTB (POZ) domain containing 3,miR-205-5p,97,✓
Tm9sf2,transmembrane 9 superfamily member 2,miR-205-5p,97,✓
Lrp1,low density lipoprotein receptor-related protein 1,miR-205-5p,97,✓
Hs3st1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,miR-205-5p,97,✓
Pbx1,pre B cell leukemia homeobox 1,miR-196a-5p,97,✓
Stc1,stanniocalcin 1,miR-340-5p,97,✓
Noc3l,NOC3 like DNA replication regulator,miR-340-5p,97,✓
Atp13a3,ATPase type 13A3,miR-340-5p,97,✓
Sumo2,small ubiquitin-like modifier 2,miR-340-5p,97,✓
Mical2,"microtubule associated monooxygenase, calponin and LIM domain containing 2",miR-340-5p,97,✓
Sgip1,SH3-domain GRB2-like (endophilin) interacting protein 1,miR-340-5p,97,✓
Mcmbp,minichromosome maintenance complex binding protein,miR-340-5p,97,✓
Ythdf3,YTH N6-methyladenosine RNA binding protein 3,miR-340-5p,97,✓
Fgf7,fibroblast growth factor 7,miR-340-5p,97,✓
Ankib1,ankyrin repeat and IBR domain containing 1,miR-340-5p,97,✓
Rbm24,RNA binding motif protein 24,miR-340-5p,97,✓
Pou2f1,"POU domain, class 2, transcription factor 1",miR-340-5p,97,✓
Usp24,ubiquitin specific peptidase 24,miR-340-5p,97,✓
Rnf111,ring finger 111,miR-340-5p,97,✓
Ubr3,ubiquitin protein ligase E3 component n-recognin 3,miR-340-5p,97,✓
Sgce,"sarcoglycan, epsilon",miR-340-5p,97,✓
Lasp1,LIM and SH3 protein 1,miR-133b-3p,96,✓
Sh3gl2,SH3-domain GRB2-like 2,miR-133b-3p,96,✓
Rbmx,"RNA binding motif protein, X chromosome",miR-133b-3p,96,✓
Cdyl2,"chromodomain protein, Y chromosome-like 2",miR-133b-3p,96,✓
Cldn11,claudin 11,miR-205-5p,96,✓
Rbm47,RNA binding motif protein 47,miR-205-5p,96,✓
Aak1,AP2 associated kinase 1,miR-205-5p,96,✓
Hand1,heart and neural crest derivatives expressed 1,miR-196a-5p,96,✓
Ecm2,"extracellular matrix protein 2, female organ and adipocyte specific",miR-196a-5p,96,✓
Gata6,GATA binding protein 6,miR-196a-5p,96,✓
Hoxb7,homeobox B7,miR-196a-5p,96,✓
Zmynd11,"zinc finger, MYND domain containing 11",miR-196a-5p,96,✓
Pacrgl,PARK2 co-regulated-like,miR-196a-5p,96,✓
Uba3,ubiquitin-like modifier activating enzyme 3,miR-340-5p,96,✓
Hdlbp,high density lipoprotein (HDL) binding protein,miR-340-5p,96,✓
Kcnh5,"potassium voltage-gated channel, subfamily H (eag-related), member 5",miR-340-5p,96,✓
Brd1,bromodomain containing 1,miR-340-5p,96,✓
Nxt2,nuclear transport factor 2-like export factor 2,miR-340-5p,96,✓
Greb1,gene regulated by estrogen in breast cancer protein,miR-340-5p,96,✓
Nfat5,nuclear factor of activated T cells 5,miR-340-5p,96,✓
Ccng2,cyclin G2,miR-340-5p,96,✓
Fam76b,"family with sequence similarity 76, member B",miR-340-5p,96,✓
Phldb2,"pleckstrin homology like domain, family B, member 2",miR-340-5p,96,✓
Tbl1xr1,transducin (beta)-like 1X-linked receptor 1,miR-340-5p,96,✓
Hook3,hook microtubule tethering protein 3,miR-340-5p,96,✓
Elavl4,ELAV like RNA binding protein 4,miR-340-5p,96,✓
Gucy1b1,"guanylate cyclase 1, soluble, beta 1",miR-340-5p,96,✓
Tshz3,teashirt zinc finger family member 3,miR-340-5p,96,✓
Adamts1,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1",miR-340-5p,96,✓
Kat6b,K(lysine) acetyltransferase 6B,miR-340-5p,96,✓
Tmem245,transmembrane protein 245,miR-340-5p,96,✓
Secisbp2l,SECIS binding protein 2-like,miR-340-5p,96,✓
Fgf4,fibroblast growth factor 4,miR-340-5p,96,✓
Tmem33,transmembrane protein 33,miR-340-5p,96,✓
Ice1,interactor of little elongation complex ELL subunit 1,miR-340-5p,96,✓
Kcna4,"potassium voltage-gated channel, shaker-related subfamily, member 4",miR-340-5p,96,✓
Lrig3,leucine-rich repeats and immunoglobulin-like domains 3,miR-340-5p,96,✓
Pum1,pumilio RNA-binding family member 1,miR-340-5p,96,✓
Tmem64,transmembrane protein 64,miR-340-5p,96,✓
Tapt1,transmembrane anterior posterior transformation 1,miR-340-5p,96,✓
Jam3,junction adhesion molecule 3,miR-340-5p,96,✓
Elavl2,ELAV like RNA binding protein 1,miR-340-5p,96,✓
Med12l,mediator complex subunit 12-like,miR-340-5p,96,✓
Hsd17b11,hydroxysteroid (17-beta) dehydrogenase 11,miR-133b-3p,95,✓
Ckap4,cytoskeleton-associated protein 4,miR-133b-3p,95,✓
Edem1,"ER degradation enhancer, mannosidase alpha-like 1",miR-133b-3p,95,✓
Clta,"clathrin, light polypeptide (Lca)",miR-133b-3p,95,✓
Fbn1,fibrillin 1,miR-133b-3p,95,✓
Arrb1,"arrestin, beta 1",miR-133b-3p,95,✓
Smarcd1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",miR-133b-3p,95,✓
Vps54,VPS54 GARP complex subunit,miR-133b-3p,95,✓
Zfp131,zinc finger protein 131,miR-133b-3p,95,
Rab11fip1,RAB11 family interacting protein 1 (class I),miR-205-5p,95,✓
Ctps2,cytidine 5'-triphosphate synthase 2,miR-205-5p,95,✓
Cltc,"clathrin, heavy polypeptide (Hc)",miR-205-5p,95,✓
Lrrk2,leucine-rich repeat kinase 2,miR-205-5p,95,✓
Senp7,SUMO1/sentrin specific peptidase 7,miR-205-5p,95,✓
Sorbs1,sorbin and SH3 domain containing 1,miR-205-5p,95,✓
Slc9a6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6",miR-196a-5p,95,✓
Atp8b4,"ATPase, class I, type 8B, member 4",miR-196a-5p,95,✓
Eri2,exoribonuclease 2,miR-196a-5p,95,✓
Prtg,protogenin,miR-196a-5p,95,✓
Krtap20-2,keratin associated protein 20-2,miR-340-5p,95,✓
Btaf1,B-TFIID TATA-box binding protein associated factor 1,miR-340-5p,95,✓
Nexmif,neurite extension and migration factor,miR-340-5p,95,✓
Slc35d3,"solute carrier family 35, member D3",miR-340-5p,95,✓
Xpot,"exportin, tRNA (nuclear export receptor for tRNAs)",miR-340-5p,95,✓
Rhobtb3,Rho-related BTB domain containing 3,miR-340-5p,95,✓
Btf3l4,basic transcription factor 3-like 4,miR-340-5p,95,✓
Tiam1,T cell lymphoma invasion and metastasis 1,miR-340-5p,95,✓
Osbpl6,oxysterol binding protein-like 6,miR-340-5p,95,✓
Usp25,ubiquitin specific peptidase 25,miR-340-5p,95,✓
Ppm1b,"protein phosphatase 1B, magnesium dependent, beta isoform",miR-340-5p,95,✓
Sgk3,serum/glucocorticoid regulated kinase 3,miR-340-5p,95,✓
Cask,calcium/calmodulin-dependent serine protein kinase (MAGUK family),miR-340-5p,95,✓
Pum2,pumilio RNA-binding family member 2,miR-340-5p,95,✓
Zdhhc17,"zinc finger, DHHC domain containing 17",miR-340-5p,95,✓
Fbxo30,F-box protein 30,miR-340-5p,95,✓
Yes1,"YES proto-oncogene 1, Src family tyrosine kinase",miR-133b-3p,94,✓
Zc3h11a,zinc finger CCCH type containing 11A,miR-133b-3p,94,✓
Plpp2,phospholipid phosphatase 2,miR-133b-3p,94,✓
Ppp2cb,"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform",miR-133b-3p,94,✓
Sobp,sine oculis binding protein,miR-133b-3p,94,✓
Adcyap1,adenylate cyclase activating polypeptide 1,miR-133b-3p,94,✓
Sertad4,SERTA domain containing 4,miR-133b-3p,94,✓
Ptprz1,"protein tyrosine phosphatase, receptor type Z, polypeptide 1",miR-133b-3p,94,✓
Virma,vir like m6A methyltransferase associated,miR-133b-3p,94,✓
Wnk3,WNK lysine deficient protein kinase 3,miR-205-5p,94,✓
Ptprm,"protein tyrosine phosphatase, receptor type, M",miR-205-5p,94,✓
Erbb4,erb-b2 receptor tyrosine kinase 4,miR-205-5p,94,✓
Selenot,selenoprotein T,miR-205-5p,94,✓
Cpeb2,cytoplasmic polyadenylation element binding protein 2,miR-205-5p,94,✓
Unc5c,unc-5 netrin receptor C,miR-205-5p,94,✓
4921517D22Rik,RIKEN cDNA 4921517D22 gene,miR-205-5p,94,
Afdn,"afadin, adherens junction formation factor",miR-205-5p,94,✓
Fut8,fucosyltransferase 8,miR-205-5p,94,✓
Slc35a1,"solute carrier family 35 (CMP-sialic acid transporter), member 1",miR-205-5p,94,✓
Lmod3,leiomodin 3 (fetal),miR-205-5p,94,✓
Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",miR-196a-5p,94,✓
Hoxa5,homeobox A5,miR-196a-5p,94,✓
Kdm1b,lysine (K)-specific demethylase 1B,miR-196a-5p,94,✓
Cpeb3,cytoplasmic polyadenylation element binding protein 3,miR-340-5p,94,✓
Pip5k1b,"phosphatidylinositol-4-phosphate 5-kinase, type 1 beta",miR-340-5p,94,✓
Myo6,myosin VI,miR-340-5p,94,✓
Nog,noggin,miR-340-5p,94,✓
Galnt3,polypeptide N-acetylgalactosaminyltransferase 3,miR-340-5p,94,✓
Zdhhc15,"zinc finger, DHHC domain containing 15",miR-340-5p,94,✓
Rab11a,"RAB11A, member RAS oncogene family",miR-340-5p,94,✓
Syt6,synaptotagmin VI,miR-340-5p,94,✓
Prkar2b,"protein kinase, cAMP dependent regulatory, type II beta",miR-340-5p,94,✓
Rab11b,"RAB11B, member RAS oncogene family",miR-340-5p,94,✓
Asb7,ankyrin repeat and SOCS box-containing 7,miR-340-5p,94,✓
Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",miR-340-5p,94,✓
Fam160a2,"family with sequence similarity 160, member A2",miR-340-5p,94,✓
Ddx42,DEAD (Asp-Glu-Ala-Asp) box polypeptide 42,miR-340-5p,94,✓
Rabgap1l,RAB GTPase activating protein 1-like,miR-340-5p,94,✓
Abi3bp,"ABI gene family, member 3 (NESH) binding protein",miR-340-5p,94,✓
Nr2c1,"nuclear receptor subfamily 2, group C, member 1",miR-340-5p,94,✓
Eif3j2,"eukaryotic translation initiation factor 3, subunit J2",miR-340-5p,94,
Arid1b,AT rich interactive domain 1B (SWI-like),miR-340-5p,94,✓
Tdo2,"tryptophan 2,3-dioxygenase",miR-340-5p,94,✓
Hoxb2,homeobox B2,miR-340-5p,94,✓
Klhl2,"kelch-like 2, Mayven",miR-340-5p,94,✓
Fgf12,fibroblast growth factor 12,miR-340-5p,94,✓
Arl5a,ADP-ribosylation factor-like 5A,miR-340-5p,94,✓
Vat1,vesicle amine transport 1,miR-133b-3p,93,✓
Dync1li2,"dynein, cytoplasmic 1 light intermediate chain 2",miR-133b-3p,93,✓
Eif4a1,eukaryotic translation initiation factor 4A1,miR-133b-3p,93,✓
Nup160,nucleoporin 160,miR-133b-3p,93,✓
Gabarapl1,gamma-aminobutyric acid (GABA) A receptor-associated protein-like 1,miR-133b-3p,93,✓
Mdh1b,"malate dehydrogenase 1B, NAD (soluble)",miR-205-5p,93,✓
Errfi1,ERBB receptor feedback inhibitor 1,miR-205-5p,93,✓
Sdha,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",miR-205-5p,93,✓
Nfat5,nuclear factor of activated T cells 5,miR-205-5p,93,✓
Strbp,spermatid perinuclear RNA binding protein,miR-205-5p,93,✓
Cdk19,cyclin-dependent kinase 19,miR-205-5p,93,✓
Spag6l,sperm associated antigen 6-like,miR-205-5p,93,
Etnk1,ethanolamine kinase 1,miR-205-5p,93,✓
Zfp503,zinc finger protein 503,miR-340-5p,93,
Arl13b,ADP-ribosylation factor-like 13B,miR-340-5p,93,✓
Ttpa,tocopherol (alpha) transfer protein,miR-340-5p,93,✓
Aebp2,AE binding protein 2,miR-340-5p,93,✓
Caprin2,caprin family member 2,miR-340-5p,93,✓
Igfbp3,insulin-like growth factor binding protein 3,miR-340-5p,93,✓
Ubxn7,UBX domain protein 7,miR-340-5p,93,✓
Ptpn2,"protein tyrosine phosphatase, non-receptor type 2",miR-340-5p,93,✓
Golt1b,golgi transport 1B,miR-340-5p,93,✓
Carmil1,capping protein regulator and myosin 1 linker 1,miR-340-5p,93,✓
A830018L16Rik,RIKEN cDNA A830018L16 gene,miR-340-5p,93,
Syap1,synapse associated protein 1,miR-340-5p,93,✓
Cep57,centrosomal protein 57,miR-340-5p,93,✓
D16Ertd472e,"DNA segment, Chr 16, ERATO Doi 472, expressed",miR-340-5p,93,
Mindy3,MINDY lysine 48 deubiquitinase 3,miR-340-5p,93,✓
Kpna4,karyopherin (importin) alpha 4,miR-340-5p,93,✓
Eif5a2,eukaryotic translation initiation factor 5A2,miR-340-5p,93,✓
Ipmk,inositol polyphosphate multikinase,miR-340-5p,93,✓
Prl5a1,"prolactin family 5, subfamily a, member 1",miR-340-5p,93,
Arhgef6,Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6,miR-340-5p,93,✓
Arhgef26,Rho guanine nucleotide exchange factor (GEF) 26,miR-340-5p,93,✓
Mtus1,mitochondrial tumor suppressor 1,miR-340-5p,93,✓
Hnrnph3,heterogeneous nuclear ribonucleoprotein H3,miR-340-5p,93,✓
Apaf1,apoptotic peptidase activating factor 1,miR-340-5p,93,✓
Mum1l1,melanoma associated antigen (mutated) 1-like 1,miR-340-5p,93,✓
Prpmp5,proline-rich protein MP5,miR-340-5p,93,
Actc1,"actin, alpha, cardiac muscle 1",miR-340-5p,93,✓
Arg1,"arginase, liver",miR-340-5p,93,✓
Ube2v2,ubiquitin-conjugating enzyme E2 variant 2,miR-340-5p,93,✓
Rif1,replication timing regulatory factor 1,miR-340-5p,93,✓
Fras1,Fraser extracellular matrix complex subunit 1,miR-340-5p,93,✓
Rbms1,"RNA binding motif, single stranded interacting protein 1",miR-340-5p,93,✓
Ric1,RAB6A GEF complex partner 1,miR-133b-3p,92,✓
Timm17a,translocase of inner mitochondrial membrane 17a,miR-133b-3p,92,✓
Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit",miR-133b-3p,92,✓
Cmpk1,cytidine monophosphate (UMP-CMP) kinase 1,miR-133b-3p,92,✓
Map4,microtubule-associated protein 4,miR-133b-3p,92,✓
Sgk1,serum/glucocorticoid regulated kinase 1,miR-133b-3p,92,✓
Foxp4,forkhead box P4,miR-133b-3p,92,✓
Fads1,fatty acid desaturase 1,miR-133b-3p,92,✓
Sec61a1,Sec61 alpha 1 subunit (S. cerevisiae),miR-133b-3p,92,✓
Tax1bp1,Tax1 (human T cell leukemia virus type I) binding protein 1,miR-133b-3p,92,✓
Sh2d4a,SH2 domain containing 4A,miR-205-5p,92,✓
Prkce,"protein kinase C, epsilon",miR-205-5p,92,✓
Pde3b,"phosphodiesterase 3B, cGMP-inhibited",miR-205-5p,92,✓
Cadm1,cell adhesion molecule 1,miR-205-5p,92,✓
E330014E10Rik,RIKEN cDNA E330014E10 gene,miR-205-5p,92,
Gm3286,predicted gene 3286,miR-205-5p,92,
Slc35f5,"solute carrier family 35, member F5",miR-205-5p,92,✓
Lamc1,"laminin, gamma 1",miR-205-5p,92,✓
Invs,inversin,miR-205-5p,92,✓
Rcbtb1,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1,miR-205-5p,92,✓
Frk,fyn-related kinase,miR-205-5p,92,✓
Kcnc2,"potassium voltage gated channel, Shaw-related subfamily, member 2",miR-196a-5p,92,✓
Fnip1,folliculin interacting protein 1,miR-196a-5p,92,✓
Homer3,homer scaffolding protein 3,miR-196a-5p,92,✓
Kif13a,kinesin family member 13A,miR-340-5p,92,✓
Dpp10,dipeptidylpeptidase 10,miR-340-5p,92,✓
Csmd3,CUB and Sushi multiple domains 3,miR-340-5p,92,✓
Dcun1d3,"DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)",miR-340-5p,92,✓
Atad1,"ATPase family, AAA domain containing 1",miR-340-5p,92,✓
Armc8,armadillo repeat containing 8,miR-340-5p,92,✓
Xrcc5,X-ray repair complementing defective repair in Chinese hamster cells 5,miR-340-5p,92,✓
Trank1,tetratricopeptide repeat and ankyrin repeat containing 1,miR-340-5p,92,✓
Ccdc162,coiled-coil domain containing 162,miR-340-5p,92,
Fam234b,"family with sequence similarity 234, member B",miR-340-5p,92,✓
Cyp2c70,"cytochrome P450, family 2, subfamily c, polypeptide 70",miR-340-5p,92,
1810024B03Rik,RIKEN cDNA 1810024B03 gene,miR-340-5p,92,
Tmem209,transmembrane protein 209,miR-340-5p,92,✓
Gm6710,predicted gene 6710,miR-340-5p,92,
Nckap5,NCK-associated protein 5,miR-340-5p,92,✓
Fancm,"Fanconi anemia, complementation group M",miR-340-5p,92,✓
Vps54,VPS54 GARP complex subunit,miR-340-5p,92,✓
Acvr2a,activin receptor IIA,miR-340-5p,92,✓
Rspo3,R-spondin 3,miR-340-5p,92,✓
Atxn7l2,ataxin 7-like 2,miR-340-5p,92,✓
Zbtb37,zinc finger and BTB domain containing 37,miR-340-5p,92,✓
Trp63,transformation related protein 63,miR-340-5p,92,
Fbxl3,F-box and leucine-rich repeat protein 3,miR-340-5p,92,✓
Slk,STE20-like kinase,miR-340-5p,92,✓
Arf6,ADP-ribosylation factor 6,miR-340-5p,92,✓
Shq1,SHQ1 homolog (S. cerevisiae),miR-340-5p,92,✓
Slc24a5,"solute carrier family 24, member 5",miR-340-5p,92,✓
Plppr5,phospholipid phosphatase related 5,miR-340-5p,92,✓
Btbd3,BTB (POZ) domain containing 3,miR-133b-3p,91,✓
Tfap2d,"transcription factor AP-2, delta",miR-133b-3p,91,✓
Ldlrap1,low density lipoprotein receptor adaptor protein 1,miR-133b-3p,91,✓
Garnl3,GTPase activating RANGAP domain-like 3,miR-133b-3p,91,✓
Emp2,epithelial membrane protein 2,miR-133b-3p,91,✓
Dpysl4,dihydropyrimidinase-like 4,miR-133b-3p,91,✓
Actn4,actinin alpha 4,miR-133b-3p,91,✓
Sgpp1,sphingosine-1-phosphate phosphatase 1,miR-133b-3p,91,✓
Elavl1,"ELAV (embryonic lethal, abnormal vision)-like 1 (Hu antigen R)",miR-133b-3p,91,✓
P2rx4,"purinergic receptor P2X, ligand-gated ion channel 4",miR-133b-3p,91,✓
Arpc5,"actin related protein 2/3 complex, subunit 5",miR-133b-3p,91,✓
Shisa5,shisa family member 5,miR-133b-3p,91,✓
Praf2,PRA1 domain family 2,miR-133b-3p,91,✓
Elfn1,"leucine rich repeat and fibronectin type III, extracellular 1",miR-133b-3p,91,✓
D5Ertd577e,"DNA segment, Chr 5, ERATO Doi 577, expressed",miR-205-5p,91,
Cep55,centrosomal protein 55,miR-205-5p,91,✓
Dusp7,dual specificity phosphatase 7,miR-205-5p,91,✓
Abhd17b,abhydrolase domain containing 17B,miR-205-5p,91,✓
Casc4,cancer susceptibility candidate 4,miR-205-5p,91,✓
Zeb2,zinc finger E-box binding homeobox 2,miR-205-5p,91,✓
Gpm6a,glycoprotein m6a,miR-205-5p,91,✓
Igf2bp1,insulin-like growth factor 2 mRNA binding protein 1,miR-196a-5p,91,✓
Rdx,radixin,miR-196a-5p,91,✓
Map4k3,mitogen-activated protein kinase kinase kinase kinase 3,miR-340-5p,91,✓
Qser1,glutamine and serine rich 1,miR-340-5p,91,✓
Cwc25,CWC25 spliceosome-associated protein,miR-340-5p,91,✓
Sbno2,strawberry notch 2,miR-340-5p,91,✓
Pgm3,phosphoglucomutase 3,miR-340-5p,91,✓
Thsd7a,"thrombospondin, type I, domain containing 7A",miR-340-5p,91,✓
Cxadr,coxsackie virus and adenovirus receptor,miR-340-5p,91,✓
Sft2d2,SFT2 domain containing 2,miR-340-5p,91,✓
Senp5,SUMO/sentrin specific peptidase 5,miR-340-5p,91,✓
Cdc14a,CDC14 cell division cycle 14A,miR-340-5p,91,✓
Kdelc1,KDEL (Lys-Asp-Glu-Leu) containing 1,miR-340-5p,91,✓
Fam126b,"family with sequence similarity 126, member B",miR-340-5p,91,✓
Map3k1,mitogen-activated protein kinase kinase kinase 1,miR-340-5p,91,✓
Nck1,non-catalytic region of tyrosine kinase adaptor protein 1,miR-340-5p,91,✓
Mylip,myosin regulatory light chain interacting protein,miR-340-5p,91,✓
Mphosph9,M-phase phosphoprotein 9,miR-340-5p,91,✓
Slc20a2,"solute carrier family 20, member 2",miR-340-5p,91,✓
Srgap1,SLIT-ROBO Rho GTPase activating protein 1,miR-340-5p,91,✓
Plat,"plasminogen activator, tissue",miR-340-5p,91,✓
Aldh1a3,"aldehyde dehydrogenase family 1, subfamily A3",miR-133b-3p,90,✓
Actr1a,"ARP1 actin-related protein 1A, centractin alpha",miR-133b-3p,90,✓
Tmem167,transmembrane protein 167,miR-133b-3p,90,✓
Pfn2,profilin 2,miR-133b-3p,90,✓
Ube2q2,ubiquitin-conjugating enzyme E2Q family member 2,miR-133b-3p,90,✓
Kctd20,potassium channel tetramerisation domain containing 20,miR-133b-3p,90,✓
Glra2,"glycine receptor, alpha 2 subunit",miR-133b-3p,90,✓
Grm5,"glutamate receptor, metabotropic 5",miR-133b-3p,90,✓
Zc3h14,zinc finger CCCH type containing 14,miR-133b-3p,90,✓
Prrt2,proline-rich transmembrane protein 2,miR-133b-3p,90,✓
Tspan15,tetraspanin 15,miR-133b-3p,90,✓
Ankrd28,ankyrin repeat domain 28,miR-133b-3p,90,✓
Rb1cc1,RB1-inducible coiled-coil 1,miR-133b-3p,90,✓
Pex5l,peroxisomal biogenesis factor 5-like,miR-133b-3p,90,✓
Slc50a1,"solute carrier family 50 (sugar transporter), member 1",miR-133b-3p,90,✓
Aftph,aftiphilin,miR-133b-3p,90,✓
Tent4b,terminal nucleotidyltransferase 4B,miR-133b-3p,90,✓
Satb2,special AT-rich sequence binding protein 2,miR-205-5p,90,✓
Ntng1,netrin G1,miR-205-5p,90,✓
Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1",miR-205-5p,90,✓
Calu,calumenin,miR-205-5p,90,✓
Lhfpl2,lipoma HMGIC fusion partner-like 2,miR-205-5p,90,✓
Nf1,neurofibromin 1,miR-205-5p,90,✓
Ezr,ezrin,miR-205-5p,90,✓
Coa6,cytochrome c oxidase assembly factor 6,miR-205-5p,90,✓
Krtap24-1,keratin associated protein 24-1,miR-205-5p,90,✓
Sbf2,SET binding factor 2,miR-205-5p,90,✓
Rbms2,"RNA binding motif, single stranded interacting protein 2",miR-196a-5p,90,✓
Ing5,"inhibitor of growth family, member 5",miR-196a-5p,90,✓
Lrrtm3,leucine rich repeat transmembrane neuronal 3,miR-196a-5p,90,✓
Lrig2,leucine-rich repeats and immunoglobulin-like domains 2,miR-196a-5p,90,✓
Igf2bp3,insulin-like growth factor 2 mRNA binding protein 3,miR-196a-5p,90,✓
Klrd1,"killer cell lectin-like receptor, subfamily D, member 1",miR-196a-5p,90,✓
Hoxa9,homeobox A9,miR-196a-5p,90,✓
Peli1,pellino 1,miR-340-5p,90,✓
Syde2,"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)",miR-340-5p,90,✓
Eif3j1,"eukaryotic translation initiation factor 3, subunit J1",miR-340-5p,90,
N4bp2l2,NEDD4 binding protein 2-like 2,miR-340-5p,90,✓
Ncoa1,nuclear receptor coactivator 1,miR-340-5p,90,✓
